model,IOU,DICE,PRECISION,RECALL,F1,MSE,Filo # difference,Filo # abs difference,Filo len difference,Filo len abs difference,Single filo # diff,Single filo # abs diff,Fused filo # diff,Fused filo # abs diff
UNet++ timm-resnest101e jaccard 1
fold 1,0.5533965066539904 ± 0.1377747791618326,0.7016617587494183 ± 0.12236565087625988,0.6985215095509102 ± 0.12988956848846028,0.7124098185624531 ± 0.12627407943380303,0.7016617587494183 ± 0.1223656508762599,0.016925782 ± 0.010943912,-4.4 ± 8.912911982062878,8.4 ± 5.314132102234569,-69.4 ± 145.39546072694293,122.2 ± 104.99219018574668,2.2 ± 5.075431016179809,3.4 ± 4.363484845854286,-1.4 ± 1.019803902718557,1.4 ± 1.019803902718557
fold 2,0.5222204041323165 ± 0.06310216317394796,0.683969653605865 ± 0.05212551243825363,0.7755070810694795 ± 0.024348711005505157,0.6179575385058695 ± 0.08925883924494216,0.683969653605865 ± 0.052125512438253675,0.0155175775 ± 0.0062371204,-3.8 ± 2.4819347291981715,4.2 ± 1.7204650534085253,-88.6 ± 65.37461280956086,88.6 ± 65.37461280956086,6.6 ± 5.571355310873648,7.0 ± 5.059644256269407,-2.2 ± 1.469693845669907,2.2 ± 1.469693845669907
fold 3,0.5963223052359832 ± 0.08890776794839032,0.742965204427834 ± 0.07465278015665021,0.78533603887714 ± 0.0741382106269145,0.7130935650899302 ± 0.10177941610569688,0.742965204427834 ± 0.07465278015665014,0.021251952 ± 0.016145898,-16.0 ± 16.852299546352718,16.4 ± 16.463292501805345,-221.0 ± 156.02948439317487,221.0 ± 156.02948439317487,2.0 ± 2.1908902300206643,2.4 ± 1.7435595774162693,-3.0 ± 3.0983866769659336,3.0 ± 3.0983866769659336
fold 4,0.4724479920756961 ± 0.11141674071412414,0.6338643351148474 ± 0.10392367622481762,0.7203847940215755 ± 0.08160188846853403,0.5746075067608595 ± 0.12436233884480409,0.6338643351148474 ± 0.1039236762248176,0.023193361 ± 0.0059641637,-3.2 ± 6.675327707311455,6.4 ± 3.7202150475476548,-168.8 ± 82.36115589281151,168.8 ± 82.36115589281151,4.6 ± 6.887670143089026,7.4 ± 3.7202150475476548,-1.2 ± 2.039607805437114,2.0 ± 1.2649110640673518
fold 5,0.506823328790913 ± 0.060499003343534904,0.6705809987017841 ± 0.05289387739656726,0.7759219324574499 ± 0.05726177579549596,0.5979852741954551 ± 0.08086435854921102,0.670580998701784 ± 0.052893877396567236,0.019251954 ± 0.008824319,-6.8 ± 4.166533331199932,6.8 ± 4.166533331199932,-144.6 ± 116.00620673050214,144.6 ± 116.00620673050214,2.2 ± 3.124099870362662,2.6 ± 2.8000000000000003,-1.0 ± 1.2649110640673518,1.0 ± 1.2649110640673518
fold 6,0.38687134278274543 ± 0.11731210904554315,0.5470896739971074 ± 0.1281853640645597,0.6833303477067216 ± 0.15877600912335452,0.5180896035805493 ± 0.17521878914658592,0.5470896739971074 ± 0.1281853640645597,0.009650391 ± 0.005342297,1.8 ± 9.927738916792684,7.4 ± 6.858571279792899,-1.0 ± 73.71295679865244,61.0 ± 41.39565194558482,0.2 ± 6.968500556073739,6.2 ± 3.1874754901018454,0.4 ± 0.48989794855663565,0.4 ± 0.48989794855663565
fold 7,0.4729851480097576 ± 0.10696506852292816,0.6346053780539719 ± 0.10503992784356832,0.6475682892034579 ± 0.1871371017172438,0.7032411530750349 ± 0.13646706280736373,0.634605378053972 ± 0.10503992784356828,0.020939454 ± 0.0130206775,-1.6 ± 8.593020423576334,7.2 ± 4.955804677345547,-7.6 ± 215.28455587895758,173.2 ± 128.0896561007172,0.2 ± 11.034491379306976,8.2 ± 7.386474125047755,1.0 ± 1.4142135623730951,1.4 ± 1.019803902718557
fold 8,0.5086877552845493 ± 0.05544967886232692,0.6726091744502127 ± 0.047235401727712414,0.8033904025415438 ± 0.032525388690614894,0.5810505962627868 ± 0.06296669508809348,0.6726091744502127 ± 0.04723540172771241,0.007572265 ± 0.002691103,-7.0 ± 0.8944271909999159,7.0 ± 0.8944271909999159,-84.0 ± 40.20447736260229,84.0 ± 40.20447736260229,-0.8 ± 4.354308211415448,3.6 ± 2.5768197453450252,-1.4 ± 0.8,1.4 ± 0.8
fold 9,0.5197637462346496 ± 0.040063786525988465,0.6830771681153084 ± 0.03524198693645369,0.7131918953209044 ± 0.033913872271502075,0.6585158199403702 ± 0.05719942786763541,0.6830771681153084 ± 0.03524198693645365,0.0066249995 ± 0.0022731943,-7.4 ± 2.65329983228432,7.4 ± 2.65329983228432,-59.4 ± 42.88402966140192,59.4 ± 42.88402966140192,-2.4 ± 4.079215610874228,4.0 ± 2.5298221281347035,-0.6 ± 0.48989794855663565,0.6 ± 0.48989794855663565
fold 10,0.4642017066814466 ± 0.09374616155281051,0.6288045583617503 ± 0.08227948878399034,0.691069948346491 ± 0.06795982307206631,0.6007648577515177 ± 0.15038072281271192,0.6288045583617503 ± 0.0822794887839904,0.013716796 ± 0.007956727,-10.0 ± 9.359487165438072,12.4 ± 5.817215828899595,-118.8 ± 102.71397178573127,134.4 ± 81.24186113082344,4.6 ± 8.039900496896713,5.8 ± 7.2221880341071145,-3.4 ± 4.079215610874228,3.8 ± 3.7094473981982814
UNet++ timm-resnest101e jaccard 5
fold 1,0.5562789935965772 ± 0.12583256368656953,0.7060289207272084 ± 0.10963821361784006,0.7123954397555536 ± 0.12297013378286484,0.7034992375354749 ± 0.10185388283584484,0.7060289207272084 ± 0.10963821361784011,0.016785156 ± 0.011482716,-3.0 ± 7.014271166700073,6.6 ± 3.8262252939417984,-67.2 ± 107.92293546786058,110.8 ± 62.34228099773059,4.2 ± 6.305553108173779,5.4 ± 5.314132102234569,-1.6 ± 1.3564659966250536,1.6 ± 1.3564659966250536
fold 2,0.5198288384849349 ± 0.04299832485887843,0.6830285200992811 ± 0.03654815296102024,0.7617933587936061 ± 0.04807098277660334,0.6265714329464854 ± 0.0756278396316606,0.6830285200992811 ± 0.03654815296102024,0.015974607 ± 0.0061508534,-3.8 ± 5.706137047074843,6.2 ± 2.9257477676655586,-102.4 ± 71.01436474404316,102.4 ± 71.01436474404316,4.0 ± 2.8284271247461903,4.4 ± 2.1540659228538015,-1.8 ± 1.32664991614216,1.8 ± 1.32664991614216
fold 3,0.5771426221813917 ± 0.11690252494285244,0.7243553266009244 ± 0.10174487654451822,0.796742876805948 ± 0.07362229142492342,0.6763505877443484 ± 0.13563227218698773,0.7243553266009244 ± 0.10174487654451822,0.02196289 ± 0.017514214,-14.6 ± 21.59259132202525,15.8 ± 20.730653631759903,-280.0 ± 209.67117112278456,280.0 ± 209.67117112278456,2.8 ± 2.3151673805580453,3.2 ± 1.7204650534085253,-3.8 ± 4.166533331199932,3.8 ± 4.166533331199932
