image,IOU,DICE,PRECISION,RECALL,F1,MSE,Filo # difference,Filo # abs difference,Filo len difference,Filo len abs difference,Single filo # diff,Single filo # abs diff,Fused filo # diff,Fused filo # abs diff
166,0.75, 0.8571428571428571, 0.9032258064516129, 0.8155339805825242, 0.8571428571428571, 0.000546875, 0, 0, -2, 2, 0, 0, 0, 0
168,0.6055045871559633, 0.7542857142857143, 0.88, 0.66, 0.7542857142857142, 0.00083984376, 0, 0, -9, 9, 0, 0, 0, 0
153,0.5901639344262295, 0.7422680412371134, 0.8571428571428571, 0.6545454545454545, 0.7422680412371134, 0.0014648438, -5, 5, -20, 20, -1, 1, -1, 1
167,0.24390243902439024, 0.39215686274509803, 1.0, 0.24390243902439024, 0.39215686274509803, 0.00030273438, -1, 1, -8, 8, -1, 1, 0, 0
149,0.5406301824212272, 0.7018299246501615, 0.5948905109489051, 0.8556430446194225, 0.7018299246501615, 0.002705078, 4, 4, 51, 51, 5, 5, 0, 0
171,0.4177215189873418, 0.5892857142857143, 0.7603686635944701, 0.48104956268221577, 0.5892857142857143, 0.0022460937, -1, 1, -18, 18, 2, 2, 0, 0
150,0.292, 0.4520123839009288, 0.46794871794871795, 0.437125748502994, 0.4520123839009288, 0.0017285156, 0, 0, -2, 2, 0, 0, 0, 0
157,0.4701492537313433, 0.6395939086294417, 0.8289473684210527, 0.5206611570247934, 0.6395939086294417, 0.00069335935, -3, 3, -11, 11, -1, 1, 0, 0
163,0.6620530565167243, 0.7966689798750868, 0.9258064516129032, 0.6991473812423873, 0.7966689798750867, 0.0028613282, -1, 1, -4, 4, -1, 1, 0, 0
169,0.6704545454545454, 0.8027210884353742, 0.7195121951219512, 0.9076923076923077, 0.802721088435374, 0.0008496094, 2, 2, 16, 16, 2, 2, 0, 0
172,0.2949640287769784, 0.45555555555555555, 0.9534883720930233, 0.29927007299270075, 0.45555555555555555, 0.00095703127, -2, 2, -15, 15, -2, 2, 0, 0
176,0.6566473988439306, 0.7927424982554082, 0.9088, 0.7029702970297029, 0.7927424982554083, 0.0029003907, -4, 4, -17, 17, -6, 6, 0, 0
187,0.558303886925795, 0.7165532879818595, 0.8633879781420765, 0.6124031007751938, 0.7165532879818594, 0.0012207031, 1, 1, -19, 19, 1, 1, 0, 0
173,0.5673076923076923, 0.7239263803680982, 0.7637540453074434, 0.6880466472303207, 0.7239263803680982, 0.0017578125, -4, 4, -14, 14, -2, 2, 0, 0
180,0.0, 0.0, 0.0, 0.0, 0.0, 0.0006640625, -4, 4, -15, 15, -4, 4, 0, 0
